Name,Description,CostPrice,TaxRate,CostIncTax,SalePriceIncTax,IsVariablePrice,MarginPerc,TaxExemptEligible,RRPrice,BottleDepositItemName,Barcode,Category,Size,Colour,ProductType,TareWeight,ProductId,AgeRestriction
"Parle G Biscuit 90g","Parle G Biscuit 90g",0.15000,NoTax,0.15000,0.20000,,0.250000,,0, ,8901719134852,Snack, , ,Standard, ,9327569, 
"Black Eye  Beans 25kg","Black Eye  Beans 25kg",31.99000,NoTax,31.99000,44.99000,,0.288950,,0, , ,Beans, , ,Standard, ,9327612, 
"Black Eye  Beans 10kg","Black Eye  Beans 10kg",12.80000,NoTax,12.80000,18.99000,,0.325960,,0, , ,Beans, , ,Standard, ,9327636, 
"Puregro Cayenne Pepper 300g","Puregro Cayenne Pepper 300g",2.05000,NoTax,2.05000,2.99000,,0.314380,,0, ,5060331891277,spice, , ,Standard, ,9327661, 
"Puregro Demerara Sugar 650g","Puregro Demerara Sugar 650g",1.10000,NoTax,1.10000,1.49000,,0.261740,,0, ,5061004298522,Grocery, , ,Standard, ,9328590, 
"Puregro Hibiscus Sorrel 750ml","Puregro Hibiscus Sorrel 750ml",2.25000,NoTax,2.25000,2.99000,,0.247490,,0, , , , , ,Standard, ,9328629, 
"Purgro Lemongrass Tea 40g","Purgro Lemongrass Tea 40g",1.20000,NoTax,1.20000,1.79000,,0.329610,,0, ,5061004295910, , , ,Standard, ,9328645, 
"Puregro Nutmeg ground","Puregro Nutmeg ground",1.60000,NoTax,1.60000,2.39000,,0.330540,,0, ,5060331890300, , , ,Standard, ,9328656, 
"Puregro Semolina Coarse 4kg","Puregro Semolina Coarse 4kg",5.95000,NoTax,5.95000,7.49000,,0.205610,,0, ,5060331898702, , , ,Standard, ,9328677, 
"Yale Cabin Biscuit","Yale Cabin Biscuit",1.50000,NoTax,1.50000,1.99000,,0.246230,,0, ,6156000106809, , , ,Standard, ,9328753, 
"Bell Pepper","Bell Pepper",10.93000,NoTax,10.93000,13.99000,,0.218730,,0, , ,Peppers, , ,Standard, ,9329818, 
"Puregro Whole Cloves 100g","Puregro Whole Cloves 100g",1.90000,NoTax,1.90000,2.49000,,0.236950,,0, ,5061004292513, , , ,Standard, ,9332636, 
"Ground Crayfish 500g","Ground Crayfish 500g",12.71000,NoTax,12.71000,16.99000,,0.251910,,0, , , , , ,Standard, ,9372903, 
"Egusi whole 1Kg","Egusi whole 1Kg",9.80000,NoTax,9.80000,12.99000,,0.245570,,0, ,5060087824178,Groceries, , ,Standard, ,9372909, 
"White Corn 1kg","White Corn 1kg",3.82000,NoTax,3.82000,5.50000,,0.305450,,0, , , , , ,Standard, ,9372939, 
"Yellow Corn 1kg","Yellow Corn 1kg",3.82000,NoTax,3.82000,5.50000,,0.305450,,0, , , , , ,Standard, ,9372945, 
"Turning/Eba Stick","Turning/Eba Stick",1.63000,NoTax,1.63000,2.50000,,0.348000,,0, , , , , ,Standard, ,9372982, 
"Stock fish Head","Stock fish Head",3.81000,NoTax,3.81000,5.99000,,0.363940,,0, , , , , ,Standard, ,9372988, 
"Stockfish Ear","Stockfish Ear",2.81000,NoTax,2.81000,3.99000,,0.295740,,0, , , , , ,Standard, ,9372993, 
"Dried Pepper 1kg","Dried Pepper 1kg",6.00000,NoTax,6.00000,8.50000,,0.294120,,0, , , , , ,Standard, ,9372997, 
Sieves, ,2.18000,NoTax,2.18000,2.99000,,0.270900,,0, , , , , ,Standard, ,9373059, 
Spoon,Spoon,1.10000,NoTax,1.10000,1.50000,,0.266670,,0, , , , , ,Standard, ,9373063, 
Ijabe,Ijabe,1.64000,NoTax,1.64000,2.50000,,0.344000,,0, , , , , ,Standard, ,9373072, 
"Moimoi Plate 12pcs","Moimpi Plate 12pcs",9.13000,NoTax,9.13000,11.80000,,0.226270,,0, , , , , ,Standard, ,9373106, 
"Ghana gari 20kg","Ghana gari 20kg",20.00000,NoTax,20.00000,27.00000,,0.259260,,0, ,854141000562, , , ,Standard, ,9373155, 
"Mamas choice Banga Soup 800g","Mamas choice Banga Soup 800g",3.10000,NoTax,3.10000,4.20000,,0.261900,,0, ,854141000579, , , ,Standard, ,9373169, 
"Disha Black eye beans 4kg","Disha Black eye beans 4kg",5.99000,NoTax,5.99000,7.99000,,0.250310,,0, ,5060398031999, , , ,Standard, ,9373203, 
"Disha Black eye beans 1.5kg","Disha Black eye beans 1.5kg",2.70000,NoTax,2.70000,3.99000,,0.323310,,0, ,5060398031975, , , ,Standard, ,9373212, 
"Bama Big","Bama Big",4.54000,NoTax,4.54000,6.99000,,0.350500,,0, ,"8410300370970,8410300367673",Grocery, , ,Standard, ,9403030, 
"Winosa Big",Winosa,9.10000,NoTax,9.10000,12.99000,,0.299460,,0, ,783495062158, , , ,Standard, ,9403066, 
"Winosa Small","Winosa Small",2.91000,NoTax,2.91000,4.50000,,0.353330,,0, ,781584384976, , , ,Standard, ,9403084, 
"Yellow Plantain Half Box","Yellow Plantain Half Box",20.00000,NoTax,20.00000,27.00000,,0.259260,,0, , , , , ,Standard, ,9403179, 
"Green Pepper/Rodo","Green Pepper/Rodo",4.72000,NoTax,4.72000,7.50000,,0.370670,,0, , , , , ,Weighed, ,9403336, 
"Lal Quilla Rice 20kg","Lal Quilla Rice 20kg",33.99000,NoTax,33.99000,40.99000,,0.170770,,0, , ,Rice, , ,Standard, ,9408876, 
"Ghana Taste Cassava Dough 1kg","Ghana Taste Cassava Dough 1kg",1.80000, ,1.80000,2.99000,,0.397990,,0, ,5060110142248,Grocery, , ,Standard, ,9409485, 
"GT Zomi Oil 500ml","GT Zomi Oil 500ml",2.20000, ,2.20000,2.99000,,0.264210,,0, ,5060110131716,Oil, , ,Standard, ,9409521, 
"KTC Vegetable Oil 5L","KTC Vegetable Oil 5L",8.00000, ,8.00000,10.99000,,0.272070,,0, ,5013635101443,Oil, , ,Standard, ,9409664, 
"KTC Vegetable 3L","KTC Vegetable 3L",6.50000, ,6.50000,7.99000,,0.186480,,0, ,5013635106301,Oil, , ,Standard, ,9409688, 
"KTC Vegetable Oil 1L","KTC Vegetable Oil 1L",2.00000, ,2.00000,2.65000,,0.245280,,0, ,5013635106028,Oil, , ,Standard, ,9409711, 
"Zomi Palm Oil 4L","Zomi Palm Oil 4L",11.25000, ,11.25000,14.99000,,0.249500,,0, ,5060110135660,Oil, , ,Standard, ,9409926, 
"Beef trip uncut 5kg","Beef trip uncut 5kg",13.75000, ,13.75000,20.00000,,0.312500,,0, , ,"Frozen Protein", , ,Standard, ,9486006, 
"Beef Tongue","Beef Tongue",6.50000, ,6.50000,8.99000,,0.276970,,0, , ,"Frozen Protein", , ,Standard, ,9486055, 
"Boneless Cowfoot 10kg","Boneless Cowfoot 10kg",54.50000, ,54.50000,70.00000,,0.221430,,0, , ,"Frozen Protein", , ,Standard, ,9486086, 
"Boneless Cowfoot 5kg","Boneless Cowfoot 5kg",27.25000, ,27.25000,35.00000,,0.221430,,0, , ,"Frozen Protein", , ,Standard, ,9486095, 
"Smoked Mask 1kg","Smoked Turkey 1kg",1.50000, ,1.50000,3.99000,,0.624060,,0, , ,"Frozen Protein", , ,Weighed, ,9490837, 
"Smoked Mask/Pomo 1kg","Smoked Mask/Pomo 1kg",1.50000, ,1.50000,3.99000,,0.624060,,0, , ,"Frozen Protein", , ,Weighed, ,9490868, 
"Honey Beans 5kg","Honey Beans 5kg",8.50000, ,8.50000,15.00000,,0.433330,,0, , ,Beans, , ,Standard, ,9490888, 
Lacasera,Lacasera,0.48000, ,0.48000,1.00000,,0.520000,,0, ,5060626030015,Drinks, , ,Standard, ,9561846, 
"Hollandia Yoghurt","Hollandia Yoghurt",3.42000, ,3.42000,4.99000,,0.314630,,0, , ,Drinks, , ,Standard, ,9561886, 
Chelsea,Chelsea,3.42000, ,3.42000,5.00000,,0.316000,,0, ,6154000141882,Drinks, , ,Standard, ,9561914, 
Elder,Elder,3.42000, ,3.42000,5.00000,,0.316000,,0, , ,Drinks, , ,Standard, ,9562011, 
"Yellow/Green Pepper half 1.7kg","Yellow Pepper half 1.7kg",16.00000, ,16.00000,21.00000,,0.238100,,0, , ,Peppers, , ,Standard, ,9562869, 
"Water Yam Box","Water Yam Box",56.00000, ,56.00000,73.00000,,0.232880,,0, , ,Tubers, , ,Standard, ,9562917, 
"AH Cassava Dough 1kg","AH Cassava Dough 1kg",1.42000, ,1.42000,1.99000,,0.286430,,0, , ,Grocery, , ,Standard, ,9563366, 
"AH Corn Dough 2kg box of 6","AH Corn Dough 2kg box of 6",16.99000, ,16.99000,20.99000,,0.190570,,0, ,5061069141092,Grocery, , ,Standard, ,9563437, 
"AH Kenkey GA 400g","AH Kenkey GA 400g",2.00000, ,2.00000,2.99000,,0.331100,,0, , ,Grocery, , ,Standard, ,9563467, 
"AH Fanti Kenkey 600g","AH Fanti Kenkey 600g",2.00000, ,2.00000,2.99000,,0.331100,,0, , ,Grocery, , ,Standard, ,9563485, 
"Prekese 300g","Prekese 300g",2.50000, ,2.50000,3.30000,,0.242420,,0, , ,Grocery, , ,Standard, ,9563790, 
"AH Red Palm Oil 4.5L","AH Red Palm Oil 4.5L",10.25000, ,10.25000,14.49000,,0.292620,,0, ,5061069145229,Oil, , ,Standard, ,9563837, 
"AH Zomi Palm Oil 1L","AH Zomi Palm Oil 1L",2.60000, ,2.60000,3.75000,,0.306670,,0, ,5061069142648,Oil, , ,Standard, ,9563953, 
"Water yam 1kg","Water yam 1kg",3.00000, ,3.00000,4.00000,,0.250000,,0, , ,Tubers, , ,Weighed, ,9572381, 
"Chivita Box of 10","Chivita Box of 10",17.00000, ,17.00000,21.99000,,0.226920,,0, , ,Drinks, , ,Standard, ,9572391, 
"AH Zomi 4.5L","AH Zomi 4.5L",10.25000, ,10.25000,14.49000,,0.292620,,0, ,5061069145212,Oil, , ,Standard, ,9572423, 
"AD Catfish Rings 300g","AD Catfish Rings 300g",6.50000, ,6.50000,8.99000,,0.276970,,0, ,5061069146042,Fish, , ,Standard, ,9572441, 
"AH Chinchin coconut 250g","AH Chinchin coconut 250g",1.00000, ,1.00000,1.75000,,0.428570,,0, ,5061069143379,snacks, , ,Standard, ,9572460, 
"AH Chinchin coconut 900g","AH Chinchin coconut 900g",4.00000, ,4.00000,5.49000,,0.271400,,0, ,5061069143393,snacks, , ,Standard, ,9572483, 
"DR Mixed Herbs 150g","DR Mixed Herbs 150g",3.50000, ,3.50000,4.99000,,0.298600,,0, ,5012389671417,spice, , ,Standard, ,9572569, 
"Gb Palmoil 1L","Gb Palmoil 1L",2.84000, ,2.84000,3.99000,,0.288220,,0, ,5029788173688,Oil, , ,Standard, ,9572661, 
"Gb Zomi Oil 1L","Gb Zomi Oil 1L",2.92000, ,2.92000,3.99000,,0.268170,,0, ,5029788173749,Oil, , ,Standard, ,9572691, 
"Gb Zomi OIl 500ml","Gb Zomi OIl 500ml",1.55000, ,1.55000,1.99000,,0.221110,,0, ,5029788173763,Oil, , ,Standard, ,9572704, 
"Gb Zomi 2L","Gb Zomi 2L",5.70000, ,5.70000,7.99000,,0.286610,,0, ,5029788173787,Oil, , ,Standard, ,9572714, 
"Gb Abemudro pamnut soup 800g","Gb Abemudro pamnut soup 800g",2.75000, ,2.75000,3.70000,,0.256760,,0, ,5029788181058,Grocery, , ,Standard, ,9572730, 
"Gino Asun Seasoning 50g","Gino Asun Seasoning 50g",0.32000, ,0.32000,0.50000,,0.360000,,0, ,8410300371076,seasoning, , ,Standard, ,9572743, 
"Gino Party JollofBox 50*50g","Gino Party JollofBox 50*50g",15.99000, ,15.99000,20.99000,,0.238210,,0, , ,seasoning, , ,Standard, ,9572758, 
"Gino Pepper&Onion Box 50*50","Gino Pepper&Onion Box 50*50",15.99000, ,15.99000,20.99000,,0.238210,,0, , ,Grocery, , ,Standard, ,9572779, 
"Island Best Farina 1.5kg","Island Best Farina 1.5kg",2.70000, ,2.70000,3.49000,,0.226360,,0, ,5061069140422,flour, , ,Standard, ,9572803, 
"IB Mash Potato","IB Mash Potato",4.50000, ,4.50000,5.99000,,0.248750,,0, ,5061069140422,flour, , ,Standard, ,9572830, 
"Knorr Chicken cube Box of 14","Knorr Chicken cube Box of 14",24.99000, ,24.99000,31.99000,,0.218820,,0, , ,seasoning, , ,Standard, ,9572855, 
"Titus Sardine Box of 50","Titus Sardine Box of 50",54.99000, ,54.99000,68.99000,,0.202930,,0, , ,Grocery, , ,Standard, ,9573057, 
"Cassava Leaves frozen 500g","Cassava Leaves frozen 500g",1.20000, ,1.20000,1.99000,,0.396980,,0, , ,vegetrables, , ,Standard, ,9573067, 
"Robb pk of 12","Robb pk of 12",9.60000, ,9.60000,12.00000,,0.200000,,0, ,6033000101983,Groceries, , ,Standard, ,9573228, 
"Supermalt bottle","Supermalt bottle",0.75000, ,0.75000,1.20000,,0.375000,,0, , ,Drinks, , ,Standard, ,9573368, 
"Whole Ogbono 100g","Whole Ogbono 100g",1.80000, ,1.80000,2.99000,,0.397990,,0, , ,Grocery, , ,Standard, ,9573465, 
"Whole Ogbonno 200g","Whole Ogbonno 200g",3.50000, ,3.50000,4.99000,,0.298600,,0, , ,Groceries, , ,Standard, ,9573469, 
Freedom,Freedom,10.00000, ,10.00000,13.00000,,0.230770,,0, , ,Hair, , ,Standard, ,9573483, 
"Twisted Afro","Twisted Afro",8.00000, ,8.00000,12.00000,,0.333330,,0, , ,Hair, , ,Standard, ,9573488, 
"Kanekion Tangle free","Kaneklon Tangle free",8.00000, ,8.00000,12.00000,,0.333330,,0, , ,Hair, , ,Standard, ,9573492, 
Mirage,Mirage,10.00000, ,10.00000,14.00000,,0.285710,,0, , ,Hair, , ,Standard, ,9573496, 
Hairkey,Hairkey,10.00000, ,10.00000,14.50000,,0.310340,,0, , ,Hair, , ,Standard, ,9573500, 
Flexi,Flexi,7.00000, ,7.00000,10.00000,,0.300000,,0, , ,Hair, , ,Standard, ,9573505, 
Crave,Crave,15.00000, ,15.00000,19.50000,,0.230770,,0, , ,Hair, , ,Standard, ,9573511, 
Skyline,Skyline,8.00000, ,8.00000,12.00000,,0.333330,,0, , ,Hair, , ,Standard, ,9573514, 
Classics,Classics,8.00000, ,8.00000,11.50000,,0.304350,,0, , ,Hair, , ,Standard, ,9573516, 
"Bella Collection","Bella Collection",7.00000, ,7.00000,11.00000,,0.363640,,0, , ,Hair, , ,Standard, ,9573522, 
Lydia,Lydia,8.00000, ,8.00000,11.00000,,0.272730,,0, , ,Hair, , ,Standard, ,9573524, 
"Butterfly curl","Butterfly curl",7.00000, ,7.00000,11.00000,,0.363640,,0, , ,Hair, , ,Standard, ,9573527, 
"Queen and girl","Queen and girl",8.00000, ,8.00000,12.00000,,0.333330,,0, , ,Hair, , ,Standard, ,9573531, 
"Remember your Bea","Remember your Bea",12.00000, ,12.00000,17.50000,,0.314290,,0, , ,Hair, , ,Standard, ,9573535, 
"Ltangle free","Ltangle free",15.00000, ,15.00000,19.99000,,0.249620,,0, , ,Hair, , ,Standard, ,9573540, 
"Lush Small","Lush Small",3.50000, ,3.50000,5.00000,,0.300000,,0, , ,Hair, , ,Standard, ,9573545, 
"fresh curl","fresh curl",8.00000, ,8.00000,11.99000,,0.332780,,0, , ,Hair, , ,Standard, ,9573548, 
"Yam Box","Yam Box",36.38000, ,36.38000,46.00000,,0.209130,,0, , ,Tubers, , ,Standard, ,9646751, 
"Uganda Pepper Half box","Uganda Pepper 4kg",11.60000, ,11.60000,16.00000,,0.275000,,0, , ,spice, , ,Standard, ,9647269, 
"Ox Kidney 10kg box","Ox Kidney 10kg box",19.00000, ,19.00000,29.00000,,0.344830,,0, , ,"Frozen Protein", , ,Standard, ,9709835, 
"Smoked Mask/Pomo 10kg box","Smoked Mask 10kg box",15.00000, ,15.00000,25.00000,,0.400000,,0, , ,"Frozen Protein", , ,Standard, ,9709868, 
"Turkey gizzard 10kg box","Turkey gizzard 10kg box",35.00000, ,35.00000,45.00000,,0.222220,,0, , ,"Frozen Protein", , ,Standard, ,9709938, 
"Turkey Gizzard 5kg box","Turkey Gizzard 5kg box",17.50000, ,17.50000,22.50000,,0.222220,,0, , ,"Frozen Protein", , ,Standard, ,9709941, 
"Croaker Fish Box","Croaker Fish Box",25.50000, ,25.50000,31.00000,,0.177420,,0, , ,Fish, , ,Standard, ,9709980, 
"Ox Heart Box 10kg","Ox Heart Box 10kg",19.00000, ,19.00000,24.00000,,0.208330,,0, , ,"Frozen Protein", , ,Standard, ,9710177, 
"Skinneal Cream","Skinneal Cream",2.00000, ,2.00000,2.99000,,0.331100,,0, ,6921465734849,Cream, , ,Standard, ,9918462, 
"Badia Cumin 56.7g","Badia Cumin 56.7g",1.12000, ,1.12000,1.50000,,0.253330,,0, ,033844000073,spice, , ,Standard, ,9918824, 
"Badia Jollof Rice Seasoning 165g","Badia Jollof Rice Seasoning 165g",2.00000, ,2.00000,2.70000,,0.259260,,0, ,033844001995,seasoning, , ,Standard, ,9918884, 
"Badia MSG 78g","Badia MSG 78g",1.10000, ,1.10000,1.50000,,0.266670,,0, ,033844002305,Frozen, , ,Standard, ,9918894, 
"Dalgety Cerassie & Corrila Tea","Dalgety Cerassie & Corrila Tea",2.70000, ,2.70000,3.60000,,0.250000,,0, , ,Tea, , ,Standard, ,9919066, 
"Dalgety Chai Masala Spice Tea","Dalgety Chai Masala Spice Tea",1.84000, ,1.84000,2.50000,,0.264000,,0, ,6712670000627,Tea, , ,Standard, ,9919085, 
"Dalgety Honey & Ginger Tea 72g","Dalgety Honey & Ginger Tea 72g",1.84000, ,1.84000,2.50000,,0.264000,,0, , ,Tea, , ,Standard, ,9919152, 
"Dalgety Instant Ginger Tea 126g","Dalgety Instant Ginger Tea 126g",2.42000, ,2.42000,3.10000,,0.219350,,0, , ,Tea, , ,Standard, ,9919184, 
